"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.24? Tell 10.0.0.25"
"2","1.027615745","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.26? Tell 10.0.0.25"
"3","1.032449278","4e:11:d6:66:d0:cc","76:74:2c:5f:30:a3","ARP","42","10.0.0.26 is at 4e:11:d6:66:d0:cc"
"4","1.032459838","10.0.0.25","10.0.0.26","ICMP","98","Echo (ping) request  id=0x5363, seq=1/256, ttl=64 (reply in 5)"
"5","1.038937118","10.0.0.26","10.0.0.25","ICMP","98","Echo (ping) reply    id=0x5363, seq=1/256, ttl=64 (request in 4)"
"6","1.042266739","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.27? Tell 10.0.0.25"
"7","2.047986215","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.27? Tell 10.0.0.25"
"8","3.071955504","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.27? Tell 10.0.0.25"
"9","4.100289050","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.28? Tell 10.0.0.25"
"10","5.120002043","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.28? Tell 10.0.0.25"
"11","6.050118037","4e:11:d6:66:d0:cc","76:74:2c:5f:30:a3","ARP","42","Who has 10.0.0.25? Tell 10.0.0.26"
"12","6.050130109","76:74:2c:5f:30:a3","4e:11:d6:66:d0:cc","ARP","42","10.0.0.25 is at 76:74:2c:5f:30:a3"
"13","6.144039713","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.28? Tell 10.0.0.25"
"14","7.171602532","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.29? Tell 10.0.0.25"
"15","8.192003704","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.29? Tell 10.0.0.25"
"16","9.215966903","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.29? Tell 10.0.0.25"
"17","10.244100109","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.30? Tell 10.0.0.25"
"18","11.263972141","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.30? Tell 10.0.0.25"
"19","12.288001963","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.30? Tell 10.0.0.25"
"20","13.315500504","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.31? Tell 10.0.0.25"
"21","14.336001246","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.31? Tell 10.0.0.25"
"22","15.359817603","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.31? Tell 10.0.0.25"
"23","16.387504524","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.32? Tell 10.0.0.25"
"24","17.407795392","76:74:2c:5f:30:a3","Broadcast","ARP","42","Who has 10.0.0.32? Tell 10.0.0.25"
