"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.39? Tell 10.0.0.42"
"2","1.020676120","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.39? Tell 10.0.0.42"
"3","2.063545322","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.39? Tell 10.0.0.42"
"4","3.073677636","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.40? Tell 10.0.0.42"
"5","4.093222438","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.40? Tell 10.0.0.42"
"6","5.116802887","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.40? Tell 10.0.0.42"
"7","6.143095483","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.41? Tell 10.0.0.42"
"8","7.163402365","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.41? Tell 10.0.0.42"
"9","8.187653350","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.41? Tell 10.0.0.42"
"10","9.214380381","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.43? Tell 10.0.0.42"
"11","9.214398468","32:88:56:58:12:61","f6:2c:3e:a0:2d:29","ARP","42","10.0.0.43 is at 32:88:56:58:12:61"
"12","9.222442857","10.0.0.42","10.0.0.43","ICMP","98","Echo (ping) request  id=0x6546, seq=1/256, ttl=64 (reply in 13)"
"13","9.222473333","10.0.0.43","10.0.0.42","ICMP","98","Echo (ping) reply    id=0x6546, seq=1/256, ttl=64 (request in 12)"
"14","9.231517299","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.44? Tell 10.0.0.42"
"15","10.238967996","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.44? Tell 10.0.0.42"
"16","11.259277632","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.44? Tell 10.0.0.42"
"17","12.287395087","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.45? Tell 10.0.0.42"
"18","13.307563656","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.45? Tell 10.0.0.42"
"19","14.331374265","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.45? Tell 10.0.0.42"
"20","14.393082285","32:88:56:58:12:61","f6:2c:3e:a0:2d:29","ARP","42","Who has 10.0.0.42? Tell 10.0.0.43"
"21","14.398674308","f6:2c:3e:a0:2d:29","32:88:56:58:12:61","ARP","42","10.0.0.42 is at f6:2c:3e:a0:2d:29"
"22","15.359580758","f6:2c:3e:a0:2d:29","Broadcast","ARP","42","Who has 10.0.0.46? Tell 10.0.0.42"
