"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.24? Tell 10.0.0.2"
"2","1.019846872","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.24? Tell 10.0.0.2"
"3","1.599751203","fe80::7471:6aff:fe61:fa21","ff02::2","ICMPv6","70","Router Solicitation from 76:71:6a:61:fa:21"
"4","1.599708904","fe80::8f6:a0ff:fe19:8613","ff02::2","ICMPv6","70","Router Solicitation from 0a:f6:a0:19:86:13"
"5","2.043938367","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.24? Tell 10.0.0.2"
"6","3.071297509","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.25? Tell 10.0.0.2"
"7","4.091935435","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.25? Tell 10.0.0.2"
"8","5.115957595","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.25? Tell 10.0.0.2"
"9","6.143274596","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.26? Tell 10.0.0.2"
"10","7.163940789","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.26? Tell 10.0.0.2"
"11","8.187735300","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.26? Tell 10.0.0.2"
"12","9.215367929","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.27? Tell 10.0.0.2"
"13","10.235758658","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.27? Tell 10.0.0.2"
"14","11.259720466","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.27? Tell 10.0.0.2"
"15","12.287695333","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.28? Tell 10.0.0.2"
"16","13.307763562","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.28? Tell 10.0.0.2"
"17","14.331876589","0a:f6:a0:19:86:13","Broadcast","ARP","42","Who has 10.0.0.28? Tell 10.0.0.2"
